firm_id,quarter,year,qtr,gscpi,sc_intensity,ccc_days,dio,dso,dpo,assets_bil,revenue_bil,rev_growth,roa,leverage
F00001,2014Q1,2014,1,0.32,0.109,38.92,67.98,44.37,73.17,0,0,0,0,0
F00001,2014Q2,2014,2,0.09,0.109,33.28,47.7,47.73,61.72,0,0,0,0,0
F00001,2014Q3,2014,3,-0.31,0.109,40.95,71.74,46.86,78.96,0,0,0,0,0
F00001,2014Q4,2014,4,-0.18,0.109,58.42,71.66,39.09,52.82,0,0,0,0,0
F00001,2015Q1,2015,1,-0.03,0.109,72.34,89.67,45.33,63.72,0,0,0,0,0
F00001,2015Q2,2015,2,0.17,0.109,22.14,48.5,42.64,70.75,0,0,0,0,0
F00001,2015Q3,2015,3,-0.06,0.109,47.99,66.39,48.01,67.98,0,0,0,0,0
F00001,2015Q4,2015,4,0.17,0.109,51.36,53.61,49.68,46.69,0,0,0,0,0
F00001,2016Q1,2016,1,0.27,0.109,25.3,61.38,37.89,75.3,0,0,0,0,0
F00001,2016Q2,2016,2,-0.14,0.109,50.35,51.71,51.78,52.97,0,0,0,0,0
F00001,2016Q3,2016,3,-0.17,0.109,37.96,65.59,45.92,74.82,0,0,0,0,0
F00001,2016Q4,2016,4,0.11,0.109,53.83,75.45,50.29,70.65,0,0,0,0,0
F00001,2017Q1,2017,1,-0.22,0.109,28.99,59.24,41.24,70.99,0,0,0,0,0
F00001,2017Q2,2017,2,-0.2,0.109,93.21,105.04,38.45,51.81,0,0,0,0,0
F00001,2017Q3,2017,3,-0.09,0.109,68.2,91.33,49.05,75.03,0,0,0,0,0
F00001,2017Q4,2017,4,0.56,0.109,47.4,69.6,34.06,58.17,0,0,0,0,0
F00001,2018Q1,2018,1,0.2,0.109,25.62,48.7,45.43,67.88,0,0,0,0,0
F00001,2018Q2,2018,2,0.43,0.109,40.35,81.63,49.99,92.51,0,0,0,0,0
F00001,2018Q3,2018,3,-0.12,0.109,48.25,60.86,40.51,55.02,0,0,0,0,0
F00001,2018Q4,2018,4,-0.14,0.109,30.5,61.5,44.44,73.99,0,0,0,0,0
F00001,2019Q1,2019,1,0.21,0.109,43.43,65.97,30.44,51.84,0,0,0,0,0
F00001,2019Q2,2019,2,-0.2,0.109,66.53,76.24,54.55,64.78,0,0,0,0,0
F00001,2019Q3,2019,3,-0.22,0.109,51.02,72.52,53.68,75.72,0,0,0,0,0
F00001,2019Q4,2019,4,-0.44,0.109,39.94,54.84,52.23,69.57,0,0,0,0,0
F00001,2020Q1,2020,1,1.65,0.109,78.28,72.52,61.94,59.37,0,0,0,0,0
F00001,2020Q2,2020,2,2.57,0.109,69.57,76.35,42.93,49.4,0,0,0,0,0
