quarter,year,qtr,gscpi
2014Q1,2014,1,0.32
2014Q2,2014,2,0.09
2014Q3,2014,3,-0.31
2014Q4,2014,4,-0.18
2015Q1,2015,1,-0.03
2015Q2,2015,2,0.17
2015Q3,2015,3,-0.06
2015Q4,2015,4,0.17
2016Q1,2016,1,0.27
2016Q2,2016,2,-0.14
2016Q3,2016,3,-0.17
2016Q4,2016,4,0.11
2017Q1,2017,1,-0.22
2017Q2,2017,2,-0.2
2017Q3,2017,3,-0.09
2017Q4,2017,4,0.56
2018Q1,2018,1,0.2
2018Q2,2018,2,0.43
2018Q3,2018,3,-0.12
2018Q4,2018,4,-0.14
2019Q1,2019,1,0.21
2019Q2,2019,2,-0.2
2019Q3,2019,3,-0.22
2019Q4,2019,4,-0.44
2020Q1,2020,1,1.65
2020Q2,2020,2,2.57
2020Q3,2020,3,2.65
2020Q4,2020,4,2.43
2021Q1,2021,1,3.71
2021Q2,2021,2,3.8
2021Q3,2021,3,3.96
2021Q4,2021,4,4.07
2022Q1,2022,1,4.25
2022Q2,2022,2,3.9
2022Q3,2022,3,3.34
2022Q4,2022,4,3.42
2023Q1,2023,1,0.29
2023Q2,2023,2,0.37
2023Q3,2023,3,-0.51
2023Q4,2023,4,-0.21
2024Q1,2024,1,-0.01
2024Q2,2024,2,-0.02
2024Q3,2024,3,0.43
2024Q4,2024,4,-0.31
